eigen_rank,eigenvalue,above_mp_lambda_max,symbol,company_name,sector,subsector,segment,loading,abs_loading,loading_rank
4,1.6543442182562562,True,CGAS5,COMGAS,Utilities,Gas Utility,Distribution,0.025058416506251385,0.025058416506251385,17
4,1.6543442182562562,True,CMIG3,CEMIG,Utilities,Electric Utility,Generation and Distribution,0.011577412052957842,0.011577412052957842,32
4,1.6543442182562562,True,CMIG4,CEMIG,Utilities,Electric Utility,Generation and Distribution,0.0020736769991035434,0.0020736769991035434,54
4,1.6543442182562562,True,COCE5,COELCE,Utilities,Electric Utility,Distribution,0.02227627101520374,0.02227627101520374,20
4,1.6543442182562562,True,CPFE3,CPFL ENERGIA,Utilities,Electric Utility,Generation and Distribution,-0.0077554491008377515,0.0077554491008377515,43
4,1.6543442182562562,True,CPLE3,COPEL,Utilities,Electric Utility,Generation and Distribution,-0.024730381201911185,0.024730381201911185,18
4,1.6543442182562562,True,CPLE6,COPEL,Utilities,Electric Utility,Generation and Distribution,-0.05117030393139068,0.05117030393139068,8
4,1.6543442182562562,True,CSNA3,CSN,Basic Materials,Steel and Metallurgy,Steel,0.0006288914633143178,0.0006288914633143178,57
4,1.6543442182562562,True,CTNM4,COTEMINAS,Consumer Cyclical,Textiles,Textiles,-0.05135061971030877,0.05135061971030877,7
4,1.6543442182562562,True,CYRE3,CYRELA,Real Estate,Real Estate,Construction,-0.006690789272535858,0.006690789272535858,44
4,1.6543442182562562,True,ELET3,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,-0.017627412145391347,0.017627412145391347,26
4,1.6543442182562562,True,ELET6,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,-0.006410808944916697,0.006410808944916697,45
4,1.6543442182562562,True,EMAE4,EMAE,Utilities,Electric Utility,Generation,-0.022667793275863022,0.022667793275863022,19
4,1.6543442182562562,True,EMBR3,EMBRAER,Industrials,Aerospace and Defense,Aerospace,0.009847813742948306,0.009847813742948306,38
4,1.6543442182562562,True,ETER3,ETERNIT,Industrials,Construction Materials,Construction Materials,0.01506579906423307,0.01506579906423307,28
4,1.6543442182562562,True,FESA4,FERBASA,Basic Materials,Steel and Metallurgy,Metallurgy,0.05465233954279953,0.05465233954279953,6
4,1.6543442182562562,True,GGBR3,GERDAU,Basic Materials,Steel and Metallurgy,Steel,-0.015258106246388738,0.015258106246388738,27
4,1.6543442182562562,True,GGBR4,GERDAU,Basic Materials,Steel and Metallurgy,Steel,-0.003213678086725201,0.003213678086725201,50
4,1.6543442182562562,True,GOAU3,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,-0.0004420658358751593,0.0004420658358751593,58
4,1.6543442182562562,True,GOAU4,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,-0.011438411053626661,0.011438411053626661,33
4,1.6543442182562562,True,GRND3,GRENDENE,Consumer Cyclical,Apparel and Footwear,Footwear,-0.08588173530667084,0.08588173530667084,3
