matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
group_mode,3,BRAP4|FESA4|TELB3,Basic Materials|Basic Materials|Telecommunications,Mining|Steel and Metallurgy|Telecommunications,2,False,False,0.0423313507558249,-0.0141262517688332,0.1026937543627869
group_mode,3,BRAP4|FESA4|TELB4,Basic Materials|Basic Materials|Telecommunications,Mining|Steel and Metallurgy|Telecommunications,2,False,False,0.045513176997582394,-0.0131650610754159,0.1026937543627869
group_mode,3,BRAP4|GGBR3|GGBR4,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Steel and Metallurgy,1,True,False,0.2029729868760565,0.1923487483291131,0.213261428193427
group_mode,3,BRAP4|GGBR3|VALE3,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Mining,1,True,False,0.22049933384981904,0.2022028795966811,0.2559863378471467
group_mode,3,BRAP4|GGBR4|GOAU4,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Steel and Metallurgy,1,True,False,0.20025385107532853,0.1902964692731046,0.213261428193427
group_mode,3,BRAP4|GGBR4|TELB4,Basic Materials|Basic Materials|Telecommunications,Mining|Steel and Metallurgy|Telecommunications,2,False,False,0.05794861315760447,-0.0262505276451977,0.213261428193427
group_mode,3,BRAP4|GGBR4|VALE3,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Mining,1,True,False,0.22719115147933863,0.2123256883974421,0.2559863378471467
group_mode,3,BRAP4|GOAU3|KLBN4,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Paper and Cellulose,1,True,False,0.1155347498406113,0.0758190262103033,0.1761183281082129
group_mode,3,BRAP4|GOAU3|VALE3,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Mining,1,True,False,0.20222437075201471,0.1745684463006846,0.2559863378471467
group_mode,3,BRAP4|GOAU4|USIM5,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Steel and Metallurgy,1,True,False,0.1817347158439784,0.1689836958050741,0.197203655759454
group_mode,3,BRAP4|GOAU4|VALE3,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Mining,1,True,False,0.2163887598376717,0.1959762859064144,0.2559863378471467
group_mode,3,BRAP4|KLBN4|PETR3,Basic Materials|Basic Materials|Oil Gas and Biofuels,Mining|Paper and Cellulose|Oil Gas and Biofuels,2,False,False,0.05739148773052399,0.0101591992424037,0.0946668952033177
group_mode,3,BRAP4|KLBN4|VALE3,Basic Materials|Basic Materials|Basic Materials,Mining|Paper and Cellulose|Mining,1,True,False,0.1483230641051912,0.0943159592651092,0.2559863378471467
group_mode,3,BRAP4|PETR3|PETR4,Basic Materials|Oil Gas and Biofuels|Oil Gas and Biofuels,Mining|Oil Gas and Biofuels|Oil Gas and Biofuels,2,False,False,0.06655831833755953,0.0609108574690603,0.0714157287977677
group_mode,3,BRAP4|PETR3|VALE3,Basic Materials|Oil Gas and Biofuels|Basic Materials,Mining|Oil Gas and Biofuels|Mining,2,False,False,0.13133907043929935,0.0673483687458506,0.2559863378471467
group_mode,3,BRAP4|PETR4|VALE3,Basic Materials|Oil Gas and Biofuels|Basic Materials,Mining|Oil Gas and Biofuels|Mining,2,False,False,0.12702777146102132,0.0609108574690603,0.2559863378471467
group_mode,3,BRAP4|TELB3|TELB4,Basic Materials|Telecommunications|Telecommunications,Mining|Telecommunications|Telecommunications,2,False,False,0.2560635295719171,-0.0141262517688332,0.7954819015600003
group_mode,3,BRAP4|USIM3|USIM5,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Steel and Metallurgy,1,True,False,0.16801366319056835,0.1520623717586735,0.1790167959674071
group_mode,3,BRAP4|USIM3|VALE3,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Mining,1,True,False,0.20019188485830552,0.1716274948821455,0.2559863378471467
group_mode,3,BRAP4|USIM5|VALE3,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Mining,1,True,False,0.20420001421503056,0.1775969088305379,0.2559863378471467
group_mode,3,BRKM3|BRKM5|ROMI3,Basic Materials|Basic Materials|Industrials,Chemicals|Chemicals|Machinery and Equipment,2,False,False,0.08325880088462097,0.0655163092554986,0.1066095517795905
group_mode,3,BRKM3|BRKM5|SHUL4,Basic Materials|Basic Materials|Industrials,Chemicals|Chemicals|Machinery and Equipment,2,False,False,0.08809767248659857,0.0719426968405214,0.1146997790005005
group_mode,3,BRKM3|EMAE4|ROMI3,Basic Materials|Utilities|Industrials,Chemicals|Electric Utility|Machinery and Equipment,3,False,False,0.0928798651499691,0.0688365353199086,0.1066095517795905
group_mode,3,BRKM3|EMAE4|SHUL4,Basic Materials|Utilities|Industrials,Chemicals|Electric Utility|Machinery and Equipment,3,False,False,0.09592566431222967,0.0688365353199086,0.1146997790005005
group_mode,3,BRKM3|ROMI3|SHUL4,Basic Materials|Industrials|Industrials,Chemicals|Machinery and Equipment|Machinery and Equipment,2,False,False,0.12651979071900027,0.1066095517795905,0.1582500413769098
group_mode,3,BRKM5|ROMI3|SHUL4,Basic Materials|Industrials|Industrials,Chemicals|Machinery and Equipment|Machinery and Equipment,2,False,False,0.0985696824909766,0.0655163092554986,0.1582500413769098
group_mode,3,CCRO3|GRND3|GUAR3,Industrials|Consumer Cyclical|Consumer Cyclical,Transportation|Apparel and Footwear|Retail,2,False,False,0.09940128675225986,0.059713450686395,0.1627893403091589
group_mode,3,CCRO3|GRND3|LREN3,Industrials|Consumer Cyclical|Consumer Cyclical,Transportation|Apparel and Footwear|Retail,2,False,False,0.0860099207529094,0.0632769777250411,0.1190517152724614
