model,feature_set,symbol,horizon,split,MAE,RMSE,QLIKE,R2_oos
HV_20d,Classical,PETR4,20,train,0.03136241428718977,0.04178009169495505,-3.243209070698138,0.39141612322503705
HV_60d,Classical,PETR4,20,train,0.031744745659723225,0.04271931583679827,-3.3154863701779,0.36374641523459184
EWMA,Classical,PETR4,20,train,0.03016875824689911,0.03988832351082829,-3.3334993211250756,0.4452807568357018
HV_20d,Classical,PETR4,20,validation,0.05587390104179121,0.10699714930625258,-2.2648827680402794,-0.4227926346880384
HV_60d,Classical,PETR4,20,validation,0.06375925932091804,0.11102926103518145,-1.7596220597355081,-0.5320470146054823
EWMA,Classical,PETR4,20,validation,0.06095243771873763,0.10408176822141064,-2.0119429862115297,-0.34631448285407496
HV_20d,Classical,PETR4,20,test,0.02866425269279113,0.045127829370572886,-3.641456271601253,0.030157435963560908
HV_60d,Classical,PETR4,20,test,0.02596482414901996,0.04009905060346446,-3.714758217033419,0.23426141474326223
EWMA,Classical,PETR4,20,test,0.025542465274517534,0.03953655782117232,-3.7250014481781055,0.25559366193996713
"GARCH(1,1)",Classical,PETR4,5,train,0.018759089533160835,0.024947840231794173,-4.786338765804707,0.38432106141899436
"GARCH(1,1)",Classical,PETR4,5,validation,0.025432151595170992,0.045173332574069476,-4.490432241062803,0.17847641149732985
"GARCH(1,1)",Classical,PETR4,5,test,0.01837429379783901,0.026305508037340438,-5.1277802457513335,0.1308188856207282
"GARCH(1,1)",Classical,PETR4,20,train,0.029181708925843198,0.037717025074662666,-3.365200897733771,0.5040287233143197
"GARCH(1,1)",Classical,PETR4,20,validation,0.051927191466202345,0.09667074799440958,-2.507854760908064,-0.1614147898010061
"GARCH(1,1)",Classical,PETR4,20,test,0.02761684945722686,0.04162085289114388,-3.7248454905848263,0.17503732032364094
HAR-RV,Classical,PETR4,5,train,0.0179323806287963,0.024576325704770547,-4.765093038985185,0.4025214792971755
HAR-RV,Classical,PETR4,5,validation,0.022016730077719652,0.04271700041758837,-4.456579831482174,0.265389259150992
HAR-RV,Classical,PETR4,5,test,0.01713305749834345,0.024942659467199264,-5.119149791351086,0.21854781665927447
