symbol1,symbol2,correlation,n_obs
CPLE3,GGBR3,0.29976886463975777,5589
ALPA4,BBDC4,0.29944597835626,6282
FESA4,GOAU3,0.29941197723611856,5671
ELET3,GOAU3,0.2993005837541218,5818
LREN3,PETR4,0.29912951399411974,5092
CCRO3,GGBR3,0.2987347516430495,5434
CMIG4,PSSA3,0.29870626124248045,5229
BRAP3,BRKM5,0.29845004307783546,5702
RAPT4,SBSP3,0.29831849752920175,6767
CCRO3,GRND3,0.29789776132783785,5074
TRPL4,USIM5,0.29788562364151633,6274
CSNA3,LREN3,0.29710523470294864,5092
CPLE3,GOAU3,0.2969848137338984,5757
CMIG3,SAPR4,0.2969277435807696,5778
BRAP4,LREN3,0.2967898049395142,5084
ALPA4,CCRO3,0.29666092613679096,5490
CGAS5,CMIG3,0.29645966322446005,6015
ALPA4,ITSA4,0.29640415438097206,6282
CGAS5,CPLE6,0.2961801616073964,5983
PETR4,USIM3,0.2949395354673095,6004
FESA4,VALE3,0.29487051531352904,6421
CPLE6,POMO4,0.2947207781267293,6663
GRND3,LREN3,0.29465406560372776,5081
CSNA3,FESA4,0.29412185071843294,6431
UNIP6,USIM5,0.29356985423338866,6664
BRAP3,RENT3,0.29351592118617204,5043
COCE5,SBSP3,0.29350518262271513,6725
POMO4,USIM5,0.2934187603834066,6537
KLBN4,USIM3,0.2928186998382166,5660
BRAP4,RAPT4,0.29268864394794203,6200
CMIG3,RAPT4,0.2924857597377506,6761
BBDC3,SAPR4,0.29241717531464023,5778
FESA4,GOAU4,0.2920926214472307,6431
CPFE3,ITSA3,0.2919849907523251,4981
CCRO3,TRPL4,0.2918995729734552,5556
CMIG3,LREN3,0.2917870817604961,5092
CYRE3,ROMI3,0.29162070522374034,4847
GOAU3,LREN3,0.29145410061698546,5059
CPFE3,PSSA3,0.29140825065319276,5229
CPFE3,GUAR3,0.2911995695600326,5215
PETR4,PSSA3,0.29096912925826834,5229
CYRE3,SAPR4,0.29091101369525296,5007
PETR3,USIM3,0.2908374104318506,6004
CGAS5,TRPL4,0.2904953195879274,5766
ELET3,VALE3,0.29043808056456716,6823
CMIG4,UNIP6,0.29037198245162493,6878
GUAR3,POMO4,0.2901542394115969,5820
GOAU3,POMO4,0.289823723809716,5771
BRAP3,ELET3,0.28904249700863327,6176
ITSA3,PETR3,0.288902210242121,5710
ALPA4,BBDC3,0.28875698135522154,6281
BRKM5,CPLE3,0.2886568799167111,5691
BRAP3,KLBN4,0.2880636873873248,5868
CCRO3,ITSA3,0.2880128093688038,5064
CMIG3,GOAU3,0.2876168401465137,5850
ELET6,GOAU3,0.2873447702263014,5818
GGBR4,PSSA3,0.28709192610587475,5229
ELET6,KLBN4,0.2870387962143975,5915
BRAP3,FESA4,0.2870031808560135,6068
CPLE6,GRND3,0.2868758866870511,5209
CMIG4,KLBN4,0.28670046241560704,5949
GGBR3,POMO4,0.2859220259329962,5672
POMO4,SBSP3,0.28578316760792566,6697
BBDC4,SAPR4,0.2854154403755381,5778
GRND3,POMO4,0.2854061407083144,5243
ELET6,UNIP6,0.2853871347147754,6845
BRAP4,UNIP6,0.2851116960891225,6290
CPFE3,KLBN4,0.28468609575883724,5264
CSNA3,POMO4,0.2840395159269419,6696
CMIG4,POMO4,0.2838538162528297,6696
CYRE3,UNIP6,0.2836212365350143,5064
PETR3,PSSA3,0.2835806415435996,5229
CPLE6,UNIP6,0.2833022932895092,6845
CGAS5,ELET6,0.2831256489419262,5983
BBAS3,SAPR4,0.28293516587326856,5778
BRAP3,ELET6,0.2824730326487333,6176
ELET3,UNIP6,0.2824164380547547,6845
CMIG3,UNIP6,0.28219646262869746,6873
CSNA3,UNIP6,0.28147841823908376,6875
BBDC3,UNIP6,0.2811551903072632,6878
CPLE3,PSSA3,0.2810845466697904,5137
CYRE3,ETER3,0.28073962836817357,5064
GOAU4,PSSA3,0.27990775345850194,5229
ELET3,POMO4,0.2797855753102714,6663
KLBN4,TRPL4,0.27933854364937627,5671
BRAP4,CCRO3,0.2793315211697603,5665
ELET6,VALE3,0.2793107667554826,6823
