model,feature_set,symbol,horizon,split,MAE,RMSE,QLIKE,R2_oos
MLP,Set C (+Network),VALE3,5,validation,0.019757055087007213,0.03769252398859069,8.057622229678772,0.03226345590139379
MLP,Set C (+Network),VALE3,5,test,0.01251865188039044,0.01657211393577443,-5.401617878887891,0.5531958525554117
CNN-1D,Sequence window,BBDC4,5,train,0.013229606696928237,0.0195064024392437,-5.169687974406812,0.33094913393141134
CNN-1D,Sequence window,BBDC4,5,validation,0.016423646436630628,0.029252558653487623,-4.725276595267572,0.18003865831612442
CNN-1D,Sequence window,BBDC4,5,test,0.013975344817245735,0.022574509316584217,-5.190216426470046,0.07534512521769299
CNN-1D,Sequence window,PETR4,5,train,0.016488230021961307,0.02316640369815154,-4.748814016914326,0.47178593071477704
CNN-1D,Sequence window,PETR4,5,validation,0.02340179982866001,0.048999221032151485,-3.400579119667679,0.03342818361327449
CNN-1D,Sequence window,PETR4,5,test,0.015630316593440934,0.02404064124100776,-5.059842690763266,0.27404618989959906
CNN-1D,Sequence window,VALE3,5,train,0.016523622838302086,0.023663372057811646,-4.727250646167642,0.40981320573440005
CNN-1D,Sequence window,VALE3,5,validation,0.019186026752264843,0.03750174263253735,-4.133373114250705,0.04203509370318481
CNN-1D,Sequence window,VALE3,5,test,0.013419270752350231,0.017242201488617544,-5.379334777819664,0.5163326107407835
Ridge,Set A (Classical),BBDC4,20,train,0.020081307600775873,0.029430438729555714,-3.8041831147397875,0.4367130786351825
Ridge,Set A (Classical),BBDC4,20,validation,0.027981805421149687,0.05020317724719516,-3.3923346527346183,0.22337201523358186
Ridge,Set A (Classical),BBDC4,20,test,0.023926654875965764,0.03343485155889951,-3.8999151690248812,0.05637626669806095
Ridge,Set A (Classical),PETR4,20,train,0.025491742599263213,0.0342302116168507,-3.3734309940047478,0.5914917489204494
Ridge,Set A (Classical),PETR4,20,validation,0.042865494515774566,0.08869425279877878,-2.3035187718431707,0.02233931083473184
Ridge,Set A (Classical),PETR4,20,test,0.02244765691305783,0.035111359198299205,-3.730501603525035,0.412906009937713
Ridge,Set A (Classical),VALE3,20,train,0.02252988975616829,0.03318935601558067,-3.3875785479637637,0.5948053010028953
Ridge,Set A (Classical),VALE3,20,validation,0.03312401358033848,0.06513270863129804,-3.0089590656738237,0.007054182005542309
Ridge,Set A (Classical),VALE3,20,test,0.018599058992172245,0.023147519955620484,-4.034854309006837,0.705800768134939
Random Forest,Set A (Classical),BBDC4,20,train,0.01799907465651158,0.026097099396976707,-3.8332290127680895,0.5570847084816779
Random Forest,Set A (Classical),BBDC4,20,validation,0.028712312605514226,0.05468565782785887,-3.214378733040245,0.0784953945061655
Random Forest,Set A (Classical),BBDC4,20,test,0.026353245175339768,0.035990092380458236,-3.8809292199219865,-0.09336704417888675
Random Forest,Set A (Classical),PETR4,20,train,0.02025075995863045,0.02675642065877025,-3.437781029316897,0.7504039573859117
Random Forest,Set A (Classical),PETR4,20,validation,0.04464845958017761,0.09115747798731244,-2.0910589750483215,-0.0327181188374861
Random Forest,Set A (Classical),PETR4,20,test,0.02763448447564211,0.04135594866248113,-3.708859227063254,0.18550518096915702
Random Forest,Set A (Classical),VALE3,20,train,0.017849923511501685,0.025297260129318398,-3.4496667947054003,0.7645964127023932
Random Forest,Set A (Classical),VALE3,20,validation,0.03484783490031605,0.06832964479520266,-2.9806212588598986,-0.09281236080032595
Random Forest,Set A (Classical),VALE3,20,test,0.024967530041849994,0.033693720143323835,-3.946153830977368,0.37665205970171245
HistGradientBoosting,Set A (Classical),BBDC4,20,train,0.014511116337801154,0.02152428395168255,-3.8729486272434057,0.6987038234867173
HistGradientBoosting,Set A (Classical),BBDC4,20,validation,0.03061267894520474,0.055787083706122474,-3.243179147942367,0.04100145826660373
HistGradientBoosting,Set A (Classical),BBDC4,20,test,0.023937698674605823,0.03359734821250039,-3.9150213954735196,0.047181770236347176
HistGradientBoosting,Set A (Classical),PETR4,20,train,0.016379006063812675,0.02148103353913446,-3.476264939881426,0.8391237215427217
HistGradientBoosting,Set A (Classical),PETR4,20,validation,0.045610623298876676,0.09142469388246308,-2.219092557856466,-0.038781541621450755
HistGradientBoosting,Set A (Classical),PETR4,20,test,0.029122686994740493,0.042976168217537886,-3.6837141213017754,0.12043541832185145
HistGradientBoosting,Set A (Classical),VALE3,20,train,0.014748414872989142,0.02080865371822323,-3.478972823563244,0.8407226323030313
HistGradientBoosting,Set A (Classical),VALE3,20,validation,0.035968955063329144,0.0697667828226692,-2.9501027208812785,-0.13926476515202024
HistGradientBoosting,Set A (Classical),VALE3,20,test,0.02486737698721265,0.034066664788414136,-3.9425612193279456,0.3627764255592919
